"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2020","11,056.3","10,965.8","11,062.0","10,900.4","","-0.02%"
"05/05/2020","11,135.4","11,189.0","11,259.2","11,124.7","","0.72%"
"05/06/2020","11,000.0","11,196.9","11,204.5","11,000.0","","-1.22%"
"05/07/2020","11,121.7","11,140.9","11,228.2","11,109.6","","1.11%"
"05/08/2020","11,354.3","11,281.3","11,360.1","11,237.5","","2.09%"
"05/11/2020","11,281.4","11,244.2","11,345.4","11,205.4","","-0.64%"
"05/12/2020","11,055.6","11,332.4","11,343.4","11,055.6","","-2.00%"
"05/13/2020","10,829.4","11,035.2","11,038.4","10,747.8","","-2.05%"
"05/14/2020","10,927.4","10,661.9","10,927.9","10,551.5","","0.90%"
"05/15/2020","10,947.3","10,927.4","10,968.2","10,817.1","","0.18%"
"05/18/2020","11,402.2","11,282.9","11,454.4","11,282.9","","4.16%"
"05/19/2020","11,249.0","11,374.2","11,409.7","11,248.5","","-1.34%"
"05/20/2020","11,420.0","11,408.6","11,477.3","11,384.4","","1.52%"
"05/21/2020","11,351.6","11,393.9","11,447.3","11,287.4","","-0.60%"
"05/22/2020","11,332.0","11,325.1","11,333.6","11,247.3","","-0.17%"
"05/26/2020","11,603.0","11,636.5","11,677.0","11,590.3","","2.39%"
"05/27/2020","11,837.5","11,787.6","11,837.5","11,602.4","","2.02%"
"05/28/2020","11,804.9","11,935.9","11,939.7","11,783.2","","-0.28%"
"05/29/2020","11,803.0","11,751.0","11,817.4","11,645.7","","-0.02%"
"06/01/2020","11,900.2","11,799.9","11,928.8","11,781.9","","0.82%"
"06/02/2020","12,046.4","11,900.2","12,046.4","11,900.2","","1.23%"
"06/03/2020","12,302.2","12,175.1","12,329.3","12,175.1","","2.12%"
"06/04/2020","12,287.0","12,236.7","12,328.5","12,202.4","","-0.12%"
"06/05/2020","12,641.4","12,641.0","12,752.1","12,600.7","","2.88%"
"06/08/2020","12,836.6","12,734.5","12,836.7","12,688.5","","1.54%"
"06/09/2020","12,619.5","12,635.6","12,682.7","12,578.5","","-1.69%"
"06/10/2020","12,449.2","12,616.6","12,628.9","12,431.6","","-1.35%"
"06/11/2020","11,659.2","12,090.1","12,099.2","11,636.0","","-6.35%"
"06/12/2020","11,867.2","11,999.5","12,030.9","11,640.6","","1.78%"
"06/15/2020","11,942.9","11,565.8","11,997.6","11,525.4","","0.64%"
"06/16/2020","12,161.5","12,304.1","12,318.8","11,993.0","","1.83%"
"06/17/2020","12,086.5","12,193.4","12,202.6","12,068.2","","-0.62%"
"06/18/2020","12,072.6","11,994.5","12,110.2","11,984.7","","-0.12%"
"06/19/2020","11,980.1","12,240.3","12,240.3","11,947.0","","-0.77%"
"06/22/2020","12,028.9","11,963.3","12,045.6","11,907.2","","0.41%"
"06/23/2020","12,077.7","12,157.4","12,176.4","12,068.1","","0.41%"
"06/24/2020","11,726.5","11,956.3","11,961.6","11,650.9","","-2.91%"
"06/25/2020","11,865.1","11,680.4","11,866.2","11,640.0","","1.18%"
"06/26/2020","11,604.4","11,796.4","11,814.0","11,578.8","","-2.20%"
"06/29/2020","11,777.1","11,683.1","11,777.6","11,605.5","","1.49%"
"06/30/2020","11,893.8","11,736.8","11,935.0","11,724.6","","0.99%"
"07/01/2020","11,901.5","11,907.8","11,982.2","11,858.8","","0.06%"
"07/02/2020","11,991.5","12,088.7","12,138.8","11,970.8","","0.76%"
"07/06/2020","12,160.0","12,181.3","12,218.2","12,114.3","","1.41%"
"07/07/2020","11,990.1","12,056.2","12,108.0","11,979.8","","-1.40%"
"07/08/2020","12,086.4","12,023.6","12,095.2","11,971.9","","0.80%"
"07/09/2020","11,928.6","12,089.2","12,103.2","11,831.0","","-1.31%"
"07/10/2020","12,075.6","11,935.3","12,079.1","11,906.2","","1.23%"
"07/13/2020","12,014.7","12,159.8","12,242.7","12,001.0","","-0.50%"
"07/14/2020","12,204.2","11,989.4","12,215.1","11,963.5","","1.58%"
"07/15/2020","12,391.3","12,377.6","12,419.8","12,309.3","","1.53%"
"07/16/2020","12,350.1","12,310.2","12,381.4","12,295.7","","-0.33%"
"07/17/2020","12,402.7","12,395.8","12,427.5","12,339.9","","0.43%"
"07/20/2020","12,393.0","12,413.1","12,432.8","12,352.7","","-0.08%"
"07/21/2020","12,508.7","12,492.1","12,570.7","12,482.0","","0.93%"
"07/22/2020","12,569.1","12,508.7","12,579.0","12,480.7","","0.48%"
"07/23/2020","12,510.9","12,567.2","12,617.2","12,459.1","","-0.46%"
"07/24/2020","12,461.8","12,488.7","12,522.2","12,427.7","","-0.39%"
"07/27/2020","12,553.1","12,481.0","12,556.6","12,444.5","","0.73%"
"07/28/2020","12,491.2","12,515.8","12,563.5","12,482.3","","-0.49%"
"07/29/2020","12,669.6","12,533.5","12,688.7","12,533.5","","1.43%"
"07/30/2020","12,533.3","12,491.5","12,544.8","12,393.8","","-1.08%"
"07/31/2020","12,465.0","12,509.3","12,509.3","12,320.7","","-0.54%"
"08/03/2020","12,536.8","12,513.2","12,562.2","12,470.9","","0.58%"
"08/04/2020","12,612.1","12,548.9","12,612.5","12,532.6","","0.60%"
"08/05/2020","12,731.6","12,713.7","12,750.0","12,710.2","","0.95%"
"08/06/2020","12,729.2","12,708.5","12,729.3","12,659.3","","-0.02%"
"08/07/2020","12,765.8","12,655.7","12,766.0","12,650.7","","0.29%"
"08/10/2020","12,844.0","12,797.8","12,853.0","12,796.2","","0.61%"
"08/11/2020","12,849.4","12,996.4","13,003.6","12,826.9","","0.04%"
"08/12/2020","12,974.8","12,984.9","13,010.9","12,944.8","","0.98%"
"08/13/2020","12,919.1","12,914.7","12,965.6","12,885.5","","-0.43%"
"08/14/2020","12,902.5","12,864.7","12,932.9","12,856.7","","-0.13%"
"08/17/2020","12,936.1","12,942.3","12,954.9","12,917.7","","0.26%"
"08/18/2020","12,910.3","12,967.9","12,975.5","12,877.2","","-0.20%"
"08/19/2020","12,859.9","12,931.1","12,946.8","12,843.3","","-0.39%"
"08/20/2020","12,812.9","12,751.3","12,832.3","12,739.0","","-0.37%"
"08/21/2020","12,809.1","12,782.1","12,814.1","12,762.9","","-0.03%"
"08/24/2020","12,972.9","12,905.0","12,973.4","12,881.4","","1.28%"
"08/25/2020","13,002.0","13,029.9","13,029.9","12,943.1","","0.22%"
"08/26/2020","13,042.5","13,006.2","13,057.9","12,976.0","","0.31%"
"08/27/2020","13,068.8","13,066.1","13,111.5","13,013.0","","0.20%"
"08/28/2020","13,171.0","13,115.4","13,174.0","13,066.7","","0.78%"
"08/31/2020","13,045.6","13,134.4","13,136.5","13,043.6","","-0.95%"
"09/01/2020","13,113.7","13,032.0","13,113.9","13,004.2","","0.52%"
"09/02/2020","13,276.7","13,132.7","13,299.7","13,112.8","","1.24%"
"09/03/2020","12,966.1","13,253.8","13,285.1","12,887.6","","-2.34%"
"09/04/2020","12,917.1","13,022.5","13,070.0","12,723.8","","-0.38%"
"09/08/2020","12,688.1","12,777.5","12,816.0","12,659.2","","-1.77%"
"09/09/2020","12,885.8","12,806.2","12,969.5","12,803.7","","1.56%"
"09/10/2020","12,706.7","12,924.5","12,964.2","12,688.3","","-1.39%"
"09/11/2020","12,773.0","12,780.0","12,827.9","12,683.3","","0.52%"
"09/14/2020","12,932.7","12,868.3","12,970.6","12,858.2","","1.25%"
"09/15/2020","12,967.2","13,011.0","13,047.5","12,942.5","","0.27%"
"09/16/2020","12,997.9","13,013.5","13,128.7","12,990.7","","0.24%"
"09/17/2020","12,948.5","12,866.2","12,981.3","12,824.4","","-0.38%"
"09/18/2020","12,833.6","12,937.6","12,962.6","12,779.4","","-0.89%"
"09/21/2020","12,561.8","12,617.5","12,833.6","12,421.1","","-2.12%"
"09/22/2020","12,602.5","12,575.2","12,636.2","12,502.2","","0.32%"
"09/23/2020","12,359.2","12,630.5","12,657.2","12,355.4","","-1.93%"
"09/24/2020","12,365.5","12,314.6","12,476.1","12,229.0","","0.05%"
