"Date","Price","Open","High","Low","Change %"
"02/21/2020","1.4400","1.4690","1.4920","1.4320","-1.97%"
"02/24/2020","1.3650","1.4380","1.4610","1.3550","-5.21%"
"02/25/2020","1.3180","1.3600","1.3800","1.3130","-3.44%"
"02/26/2020","1.2570","1.3190","1.3220","1.2570","-4.63%"
"02/27/2020","1.1720","1.2600","1.2750","1.1330","-6.76%"
"02/28/2020","0.9830","1.1970","1.1970","0.9620","-16.13%"
"03/02/2020","0.8850","0.9930","1.0190","0.7870","-9.97%"
"03/03/2020","0.7180","0.9730","0.9730","0.6820","-18.87%"
"03/04/2020","0.5770","0.7230","0.7460","0.5720","-19.64%"
"03/05/2020","0.4800","0.5920","0.6260","0.4740","-16.81%"
"03/06/2020","0.3850","0.4740","0.6820","0.3360","-19.79%"
"03/09/2020","0.2900","0.3930","0.5970","0.2090","-24.68%"
"03/10/2020","0.4000","0.3540","0.5870","0.3360","37.93%"
"03/11/2020","0.4030","0.4380","0.6020","0.3490","0.75%"
"03/12/2020","0.3590","0.3770","0.5610","0.2980","-10.92%"
"03/13/2020","0.3670","0.3640","0.5510","0.3390","2.23%"
"03/16/2020","0.2830","0.2110","0.4770","0.1370","-22.89%"
"03/17/2020","0.2650","0.2730","0.3770","0.2550","-6.36%"
"03/18/2020","0.1880","0.3870","0.3870","0.1530","-29.06%"
"03/19/2020","0.1600","0.1830","0.3360","0.1420","-14.89%"
"03/20/2020","0.1400","0.2420","0.2420","0.1250","-12.50%"
"03/23/2020","0.1650","0.1270","0.2650","0.0970","17.86%"
"03/24/2020","0.2370","0.1480","0.3060","0.1400","43.64%"
"03/25/2020","0.1930","0.2460","0.3970","0.1830","-18.57%"
"03/26/2020","0.1290","0.1850","0.3460","0.1240","-33.16%"
"03/27/2020","0.1240","0.1320","0.2850","0.1140","-3.88%"
"03/30/2020","0.1400","0.1170","0.3660","0.1170","12.90%"
"03/31/2020","0.1520","0.1450","0.3840","0.1290","8.57%"
"04/01/2020","0.1570","0.1830","0.4120","0.1450","3.29%"
"04/02/2020","0.1500","0.1470","0.3790","0.1370","-4.46%"
"04/03/2020","0.1500","0.3840","0.3840","0.1420","0.00%"
"04/06/2020","0.1730","0.3910","0.3910","0.1450","15.33%"
"04/07/2020","0.1980","0.1600","0.4040","0.1570","14.45%"
"04/08/2020","0.2360","0.1880","0.4270","0.1780","19.19%"
"04/09/2020","0.2490","0.2260","0.4630","0.2060","5.51%"
"04/13/2020","0.2690","0.2896","0.2896","0.2412","8.03%"
"04/14/2020","0.2410","0.2475","0.2310","0.5088","-10.41%"
"04/15/2020","0.1900","0.2590","0.2590","0.1853","-21.16%"
"04/16/2020","0.1780","0.1527","0.5088","0.0966","-6.32%"
"04/17/2020","0.1670","0.3772","0.5088","0.0966","-6.18%"
"04/20/2020","0.1570","0.1629","0.5088","0.0966","-5.99%"
"04/21/2020","0.1450","0.1827","0.1827","0.1370","-7.64%"
"04/22/2020","0.1650","0.1726","0.1624","0.1751","13.79%"
"04/23/2020","0.1730","0.1878","0.1878","0.1599","4.85%"
"04/24/2020","0.1700","0.1929","0.1929","0.1675","-1.73%"
"04/27/2020","0.1780","0.1960","0.1960","0.1680","4.71%"
"04/28/2020","0.1670","0.2030","0.2030","0.1620","-6.18%"
"04/29/2020","0.1650","0.1700","0.1850","0.1570","-1.20%"
"04/30/2020","0.1670","0.1880","0.1880","0.1500","1.21%"
"05/01/2020","0.1670","0.1930","0.1930","0.1600","0.00%"
"05/04/2020","0.1650","0.1930","0.1930","0.1570","-1.20%"
"05/05/2020","0.1620","0.1600","0.1700","0.1570","-1.82%"
"05/06/2020","0.1620","0.1730","0.1730","0.1600","0.00%"
"05/07/2020","0.1420","0.1600","0.1850","0.1370","-12.35%"
"05/08/2020","0.1500","0.1620","0.1620","0.1270","5.63%"
"05/11/2020","0.1600","0.1600","0.1730","0.1420","6.67%"
"05/12/2020","0.1600","0.1550","0.1680","0.1550","0.00%"
"05/13/2020","0.1550","0.1550","0.1680","0.1520","-3.12%"
"05/14/2020","0.1570","0.1570","0.1730","0.1470","1.29%"
"05/15/2020","0.1470","0.1520","0.1620","0.1450","-6.37%"
"05/18/2020","0.1650","0.1570","0.1680","0.1470","12.24%"
"05/19/2020","0.1570","0.1570","0.1830","0.1550","-4.85%"
"05/20/2020","0.1600","0.1880","0.1900","0.1570","1.91%"
"05/21/2020","0.1650","0.1780","0.1830","0.1570","3.13%"
"05/22/2020","0.1650","0.1830","0.1830","0.1620","0.00%"
"05/25/2020","0.1624","0.1624","0.1624","0.1624","-1.58%"
"05/26/2020","0.1730","0.1830","0.1880","0.1620","6.53%"
"05/27/2020","0.1830","0.1980","0.1980","0.1680","5.78%"
"05/28/2020","0.1800","0.1980","0.2060","0.1780","-1.64%"
"05/29/2020","0.1730","0.1880","0.1980","0.1700","-3.89%"
"06/01/2020","0.1700","0.1880","0.1950","0.1680","-1.73%"
"06/02/2020","0.1700","0.1830","0.1900","0.1650","0.00%"
"06/03/2020","0.1800","0.1830","0.1900","0.1680","5.88%"
"06/04/2020","0.1730","0.1880","0.1880","0.1700","-3.89%"
"06/05/2020","0.1830","0.1880","0.1950","0.1700","5.78%"
"06/08/2020","0.1880","0.1980","0.1980","0.1800","2.73%"
"06/09/2020","0.1880","0.2000","0.2080","0.1880","0.00%"
"06/10/2020","0.1850","0.2000","0.2080","0.1830","-1.60%"
"06/11/2020","0.1830","0.1850","0.2000","0.1800","-1.08%"
"06/12/2020","0.1780","0.1880","0.2160","0.1750","-2.73%"
"06/15/2020","0.1780","0.1780","0.1930","0.1780","0.00%"
"06/16/2020","0.1930","0.1950","0.1950","0.1780","8.43%"
"06/17/2020","0.1930","0.2000","0.2030","0.1880","0.00%"
"06/18/2020","0.1830","0.2110","0.2110","0.1830","-5.18%"
"06/19/2020","0.1780","0.1800","0.1960","0.1750","-2.73%"
"06/22/2020","0.1750","0.1930","0.1930","0.1730","-1.69%"
"06/23/2020","0.1780","0.1880","0.1900","0.1730","1.71%"
"06/24/2020","0.1780","0.1930","0.1930","0.1750","0.00%"
"06/25/2020","0.1780","0.1900","0.1900","0.1730","0.00%"
"06/26/2020","0.1620","0.1730","0.1900","0.1620","-8.99%"
"06/29/2020","0.1600","0.1780","0.1780","0.1570","-1.23%"
"06/30/2020","0.1600","0.1620","0.1730","0.1550","0.00%"
"07/01/2020","0.1620","0.1730","0.1730","0.1570","1.25%"
"07/02/2020","0.1570","0.1730","0.1730","0.1570","-3.09%"
"07/06/2020","0.1600","0.1730","0.1730","0.1570","1.91%"
"07/07/2020","0.1570","0.1730","0.1730","0.1570","-1.87%"
"07/08/2020","0.1570","0.1730","0.1730","0.1550","0.00%"
"07/09/2020","0.1520","0.1730","0.1730","0.1520","-3.18%"
"07/10/2020","0.1520","0.1650","0.1650","0.1450","0.00%"
"07/13/2020","0.1570","0.1620","0.1620","0.1470","3.29%"
"07/14/2020","0.1550","0.1680","0.1680","0.1550","-1.27%"
"07/15/2020","0.1520","0.1680","0.1680","0.1520","-1.94%"
"07/16/2020","0.1470","0.1730","0.1730","0.1450","-3.29%"
